,code,exchange,orderid,direction,offset,price,volume,datetime
0,rb2210,SHFE,0_0_         117,多,平昨,5009.0,4,2022-04-08 21:00:12
1,rb2210,SHFE,0_0_         215,空,平昨,5008.0,1,2022-04-08 21:00:15
2,rb2210,SHFE,0_0_         215,空,平昨,5008.0,3,2022-04-08 21:00:15
3,rb2210,SHFE,0_0_         234,多,开,5007.0,1,2022-04-08 21:00:17
4,rb2210,SHFE,0_0_         234,多,开,5007.0,1,2022-04-08 21:00:17
5,rb2210,SHFE,0_0_         234,多,开,5007.0,2,2022-04-08 21:00:17
6,rb2210,SHFE,0_0_         284,空,平今,5008.0,2,2022-04-08 21:00:17
7,rb2210,SHFE,0_0_         284,空,平今,5008.0,2,2022-04-08 21:00:17
8,rb2210,SHFE,0_0_         288,多,开,5007.0,4,2022-04-08 21:00:24
9,rb2210,SHFE,0_0_         446,空,平今,5008.0,4,2022-04-08 21:00:24
10,rb2210,SHFE,0_0_         739,空,开,5007.0,3,2022-04-08 21:00:42
11,rb2210,SHFE,0_0_         794,多,开,5006.0,4,2022-04-08 21:00:45
12,rb2210,SHFE,0_0_         937,多,开,5010.0,1,2022-04-08 21:00:55
13,rb2210,SHFE,0_0_         937,多,开,5010.0,2,2022-04-08 21:00:55
14,rb2210,SHFE,0_0_         937,多,开,5010.0,1,2022-04-08 21:00:55
15,rb2210,SHFE,0_0_         962,空,平今,5012.0,1,2022-04-08 21:00:57
16,rb2210,SHFE,0_0_         988,空,平今,5012.0,3,2022-04-08 21:00:57
17,rb2210,SHFE,0_0_         989,多,开,5011.0,1,2022-04-08 21:00:57
18,rb2210,SHFE,0_0_         989,多,开,5011.0,3,2022-04-08 21:00:57
19,rb2210,SHFE,0_0_        1205,空,平今,5009.0,1,2022-04-08 21:01:09
20,rb2210,SHFE,0_0_        1224,空,平今,5010.0,3,2022-04-08 21:02:00
21,rb2210,SHFE,0_0_        2679,多,平昨,5009.0,3,2022-04-08 21:02:00
22,rb2210,SHFE,0_0_        3050,空,开,5010.0,1,2022-04-08 21:02:09
23,rb2210,SHFE,0_0_        3050,空,开,5010.0,1,2022-04-08 21:02:09
24,rb2210,SHFE,0_0_        3050,空,开,5010.0,1,2022-04-08 21:02:09
25,rb2210,SHFE,0_0_        3050,空,开,5010.0,1,2022-04-08 21:02:09
26,rb2210,SHFE,0_0_        3050,空,开,5010.0,1,2022-04-08 21:02:09
