,code,exchange,orderid,tradeid,direction,offset,price,volume,datetime
0,rb2210,SHFE,0_0_        1100,       59590,多,平昨,4889.0,2,2022-04-11 21:00:34
1,rb2210,SHFE,0_0_        1127,       59984,多,平昨,4889.0,5,2022-04-11 21:00:35
2,rb2210,SHFE,0_0_        1583,       69041,空,平昨,4892.0,4,2022-04-11 21:00:46
3,rb2210,SHFE,0_0_        1691,       72019,空,开,4893.0,2,2022-04-11 21:00:50
4,rb2210,SHFE,0_0_        1691,       72020,空,开,4893.0,1,2022-04-11 21:00:50
5,rb2210,SHFE,0_0_        2298,       83253,多,开,4890.0,6,2022-04-11 21:01:04
6,rb2210,SHFE,0_0_        2298,       83282,多,开,4890.0,1,2022-04-11 21:01:04
7,rb2210,SHFE,0_0_        2431,       85836,空,平今,4889.0,4,2022-04-11 21:01:07
8,rb2210,SHFE,0_0_        2893,       99848,多,开,4892.0,1,2022-04-11 21:01:25
9,rb2210,SHFE,0_0_        2893,       99917,多,开,4892.0,3,2022-04-11 21:01:25
10,rb2210,SHFE,0_0_        3044,      103804,空,平今,4893.0,2,2022-04-11 21:01:30
11,rb2210,SHFE,0_0_        3044,      103809,空,平今,4893.0,2,2022-04-11 21:01:30
12,rb2210,SHFE,0_0_        3116,      105466,空,平昨,4893.0,1,2022-04-11 21:01:33
13,rb2210,SHFE,0_0_        3173,      106331,空,开,4893.0,4,2022-04-11 21:01:34
14,rb2210,SHFE,0_0_        3361,      110592,多,平今,4890.0,3,2022-04-11 21:01:40
15,rb2210,SHFE,0_0_        3361,      110602,多,平今,4890.0,1,2022-04-11 21:01:40
16,rb2210,SHFE,0_0_        3387,      110891,多,平今,4890.0,1,2022-04-11 21:01:40
17,rb2210,SHFE,0_0_        3387,      110892,多,平今,4890.0,1,2022-04-11 21:01:40
18,rb2210,SHFE,0_0_        3388,      111583,空,开,4891.0,6,2022-04-11 21:01:41
19,rb2210,SHFE,0_0_        3413,      111800,多,平今,4890.0,6,2022-04-11 21:01:41
20,rb2210,SHFE,0_0_        3577,      114447,空,开,4889.0,4,2022-04-11 21:01:46
21,rb2210,SHFE,0_0_        3922,      119097,空,平今,4891.0,1,2022-04-11 21:01:55
22,rb2210,SHFE,0_0_        3928,      119457,多,平今,4890.0,1,2022-04-11 21:01:56
23,rb2210,SHFE,0_0_        3948,      119562,空,平今,4891.0,1,2022-04-11 21:01:56
